malvin, aguada, 62, 90, 10-8-19
sayago, bigua, 67, 82, 10-9-19
capitol, nacional, 81, 77, 10-10-19
atenas, olimpia, 75, 88, 10-10-19
hebraica, capitol, 97, 80, 10-14-19
bigua, atenas, 84, 82, 10-14-19
nacional, goes, 76, 69, 10-15-19
olimpia, trouville, 97, 93, 10-15-19
urunday, defensor, 92, 76, 10-15-19
atenas, aguada, 86, 110, 10-18-19
capitol, olimpia, 73, 87, 10-18-19
trouville, bigua, 80, 73, 10-18-19
goes, hebraica, 69, 77, 10-18-19
